seq,ax,ay,az,gx,gy,gz,label
2,-0.290283,-0.023682,1.230469,-41.099236,-119.053436,-22.335878,A
2,-0.233643,-0.014648,1.081299,-34.267174,-120.931297,-21.244274,A
2,-0.189453,-0.050781,0.998291,-25.839695,-120.404579,-18.229008,A
2,-0.158447,-0.072510,0.986572,-27.106871,-122.175575,-23.480917,A
2,-0.136230,0.005371,0.943115,-29.305344,-128.091599,-24.549618,A
2,-0.145752,-0.014160,0.979492,-30.687023,-140.114502,-19.770992,A
2,-0.104980,-0.072998,0.929443,-30.954199,-152.366409,-17.244274,A
2,-0.001709,-0.151611,0.752930,-25.297710,-163.412216,-20.687023,A
2,0.096191,-0.107666,0.554199,-17.122137,-159.183212,-22.702290,A
2,0.176758,-0.123047,0.355957,-11.656488,-145.656494,-22.862595,A
2,0.223877,-0.128662,0.287842,-9.694656,-128.358780,-25.717558,A
2,0.273682,-0.072998,0.221436,-5.603054,-110.274811,-25.389313,A
2,0.323730,-0.023438,0.109863,-9.503817,-91.282440,-22.137405,A
2,0.351318,-0.097168,0.058350,-17.854961,-66.274811,-21.595419,A
2,0.371582,-0.184570,0.013916,-16.473282,-37.374046,-24.732824,A
2,0.369385,-0.166748,0.052979,-5.908397,-16.122137,-30.694656,A
2,0.431885,-0.064209,-0.006348,1.648855,5.541985,-26.320610,A
2,0.454346,-0.043213,0.008789,-2.648855,25.450382,-23.702290,A
2,0.456543,0.014160,0.000488,-13.076336,47.114502,-22.114504,A
2,0.408936,-0.054443,0.116211,-25.358778,70.114502,-15.900764,A
2,0.405029,-0.151367,0.206055,-24.618320,86.396950,-18.923664,A
2,0.387939,-0.098877,0.320313,-16.328245,100.786263,-20.969465,A
2,0.371826,0.018066,0.338135,-13.709924,113.557251,-14.137404,A
2,0.339111,-0.215332,0.412598,-16.877863,129.251907,-12.656488,A
2,0.279541,-0.190918,0.629150,-1.595420,141.267181,-24.633587,A
2,0.239502,0.025391,0.681641,13.297709,133.732819,-18.412214,A
2,0.230957,-0.224609,0.659912,9.748092,148.175568,-21.961832,A
2,0.106445,-0.011963,0.894531,20.679390,158.603058,-33.374046,A
2,0.064697,0.096924,1.033447,25.832062,146.816788,-18.725191,A
2,0.003906,-0.115967,1.166748,20.534351,153.053436,-26.083969,A
2,-0.077881,0.017334,1.392334,24.297710,141.267181,-33.465649,A
2,-0.114014,0.173340,1.500488,24.633587,119.954201,-27.862595,A
2,-0.124512,0.118652,1.577881,17.511450,110.633591,-25.977098,A
2,-0.210205,0.233398,1.739746,16.625954,105.122139,-21.770992,A
2,-0.344727,0.377197,1.999939,22.221375,72.786263,-10.167939,A
2,-0.343506,0.508057,1.999939,30.190840,28.328245,7.793893,A
2,-0.277100,0.594971,1.951416,26.755726,4.992366,19.916031,A
2,-0.249756,0.707520,1.892334,24.763359,-23.458015,36.221375,A
2,-0.167725,0.795410,1.590088,19.312977,-43.709923,58.061069,A
2,-0.138428,0.771240,1.396973,1.129771,-53.206108,81.656487,A
2,-0.126221,0.612549,1.229004,-16.503817,-59.916031,95.763359,A
2,-0.099121,0.464600,1.024170,-35.702290,-65.145035,106.381676,A
2,-0.043213,0.255127,0.831055,-50.206108,-63.763359,111.328247,A
2,0.012451,0.042480,0.695068,-53.198475,-54.167938,114.282440,A
2,0.042969,-0.166992,0.620850,-47.908398,-40.183205,110.618324,A
2,0.055420,-0.304688,0.605713,-42.152672,-27.694656,102.847328,A
2,0.079346,-0.411377,0.590088,-34.687023,-14.824428,92.022903,A
2,0.087646,-0.493408,0.572266,-29.351145,-0.992366,78.641220,A
2,0.031006,-0.572998,0.697754,-31.015266,10.152672,63.343510,A
2,-0.023926,-0.669189,0.789795,-30.114504,15.908397,45.068703,A
2,-0.118896,-0.665771,0.946045,-24.572519,13.862596,28.732824,A
2,-0.153809,-0.628174,0.928467,-20.450382,12.061069,13.893129,A
2,-0.196289,-0.645996,0.961426,-21.198473,16.229008,0.229008,A
2,-0.245605,-0.703125,1.029541,-14.465649,18.938931,-14.076336,A
2,-0.277832,-0.670654,1.067383,-4.938931,17.946566,-28.793894,A
2,-0.287354,-0.619629,1.050049,0.427481,11.763359,-40.625954,A
2,-0.291504,-0.612061,1.087646,3.450382,0.312977,-51.297710,A
2,-0.232422,-0.587646,0.976807,7.358778,-4.519084,-63.221375,A
2,-0.177490,-0.507568,0.936768,11.709924,-5.839694,-73.076332,A
2,-0.143311,-0.488281,0.927002,14.671756,-1.076336,-82.885498,A
2,-0.127197,-0.419434,0.959229,20.694656,0.351145,-94.076332,A
2,-0.128906,-0.287109,0.925537,22.351145,2.862595,-100.083969,A
2,-0.125244,-0.208008,1.010498,24.908398,2.419847,-103.664124,A
2,-0.115723,-0.099365,1.014648,27.557251,-3.061069,-106.702293,A
2,-0.073730,0.020752,0.964600,23.839695,-6.679389,-109.045799,A
2,-0.035400,0.129150,0.930176,21.671755,-5.213740,-106.145035,A
2,0.016602,0.211426,0.889893,23.099237,-3.770992,-100.183205,A
3,-0.133789,0.036865,0.989014,-3.824427,-0.343511,-0.671756,A
3,-0.128418,0.023438,0.976074,-3.198473,-0.122137,0.030534,A
3,-0.123291,0.027344,0.968018,-2.083969,1.679389,-0.465649,A
3,-0.124756,0.031006,0.972656,-2.007634,1.664122,-1.083969,A
3,-0.124023,0.035400,0.971680,-2.748092,1.732824,-1.381679,A
3,-0.119141,0.025879,0.958984,-2.648855,3.793893,-1.396947,A
3,-0.127197,0.036377,0.983398,-2.480916,3.557252,-1.320611,A
3,-0.123047,0.040527,0.961670,-3.030534,2.854962,-1.763359,A
3,-0.113037,0.064941,0.945313,-3.893130,5.816794,-0.961832,A
3,-0.117676,0.033936,0.986816,-6.290076,7.946565,-0.061069,A
3,-0.120117,0.050049,1.001953,-7.748092,10.564885,-0.068702,A
3,-0.104980,0.070068,1.001953,-12.938931,15.435115,1.290076,A
3,-0.091797,0.062500,1.027100,-17.519083,17.442749,2.396947,A
3,-0.072754,0.083252,1.041992,-25.167938,29.412214,4.503817,A
3,-0.100830,-0.048828,1.139404,-34.404579,50.145039,5.076336,A
3,-0.133789,-0.093994,1.167236,-32.305344,75.870232,4.656488,A
3,-0.289795,-0.197266,1.381592,-30.198473,107.099236,3.061069,A
3,-0.492676,-0.252686,1.755615,-15.992367,62.961834,-4.572519,A
3,-0.557129,-0.091553,1.786621,-19.351145,39.068703,-10.862596,A
3,-0.552979,-0.150879,1.680420,-33.335876,0.786260,-13.480916,A
3,-0.618896,-0.083252,1.726563,-37.854961,-42.152672,-23.961832,A
3,-0.641113,-0.085693,1.672607,-38.984734,-91.519081,-24.496183,A
3,-0.654541,-0.053955,1.649658,-34.068703,-144.916031,-21.267176,A
3,-0.581299,-0.073242,1.396240,-27.854961,-184.061066,-21.053434,A
3,-0.534180,-0.066895,1.250488,-20.938931,-214.809158,-17.442749,A
3,-0.524658,-0.028320,1.179688,-13.374045,-250.137405,-11.129771,A
3,-0.437988,-0.062012,0.937256,-19.465649,-250.137405,-6.458015,A
3,-0.130859,-0.091553,0.348633,-32.007633,-250.137405,-15.374045,A
3,0.024170,-0.148682,0.244141,-23.641222,-223.274811,-24.587786,A
3,0.038086,-0.134766,0.449463,-4.465649,-197.122131,-28.404581,A
3,0.135010,-0.074951,0.286865,11.832061,-195.946564,-22.534351,A
3,0.194092,-0.000732,0.229004,1.251908,-175.534348,-20.595419,A
